"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC107896172",566.546069815167,8.70312652292734,0.874778196585763,9.94895226800968,2.54852137213514e-23,4.09246195612683e-20
"LOC107902458",4346.91398143637,4.24894288636237,0.428503315740204,9.91577598185601,3.55483267363744e-23,5.3673167994406e-20
"LOC107927650",268.363093642526,4.78381333986556,0.482333234319988,9.91806701151324,3.47419044519449e-23,5.3673167994406e-20
"LOC107962977",609.101267038803,-4.65403671334816,0.469476872679338,-9.9132395740545,3.64627499961997e-23,5.3673167994406e-20
"LOC107906889",508.466340555769,5.5287851971546,0.566321274476661,9.76263023539732,1.62875192828684e-22,2.33272492388584e-19
"LOC107950605",468.95698674032,8.82117778309899,0.904349269679105,9.75417140130942,1.77040482556343e-22,2.46887611884887e-19
"LOC107931553",1209.36291371025,6.72015268893627,0.689913246720974,9.74057639982401,2.02403007245157e-22,2.75018978459881e-19
"LOC107911851",356.180248412005,7.31004191898923,0.755328048301263,9.67796963905889,3.74070777913932e-22,4.95568966580377e-19
"LOC107935935",269.142590927804,6.28265353829583,0.652926293387918,9.62230132546242,6.43745038629239e-22,8.3203261187904e-19
"LOC107896614",525.779553347247,-3.5531574710876,0.370839847405747,-9.58137992975706,9.57568726195885e-22,1.20817814139458e-18
"LOC107933740",2022.18228072924,6.55388531239695,0.685179722756765,9.56520617105821,1.11978064151167e-21,1.37998641290667e-18
"LOC107913941",1058.6218369333,2.72438964543767,0.288762334585681,9.43471263087913,3.920674718594e-21,4.72191806108484e-18
"LOC107945820",503.735129631421,4.9949255805058,0.532085863203467,9.38744275300501,6.14746346553379e-21,7.23925297701259e-18
"LOC107895437",3310.4892254431,3.3535817598363,0.358115280247589,9.36453132499048,7.63885528928785e-21,8.78206253205203e-18
"LOC107958855",1493.84689253994,3.46954145198533,0.370579519559355,9.36247490447085,7.78904247823153e-21,8.78206253205203e-18
"LOC107918860",113.421191066758,4.35994494778774,0.471544512955356,9.24609411837335,2.32846128832924e-20,2.57062126231548e-17
"LOC107900639",114.437409229068,-4.26503892557126,0.46218700251429,-9.22795081291667,2.7585865211727e-20,2.98332687612212e-17
"LOC107890421",309.879025798921,8.67941889147628,0.945314597728546,9.1815136594015,4.25073666974946e-20,4.50510075206727e-17
"LOC107949398",388.186251343837,3.81738866344683,0.418332376356923,9.12525273967755,7.15690680585993e-20,7.43644716580645e-17
"LOC107903743",345.673529907767,5.91882422289812,0.653072797986267,9.06303897689302,1.26865677123711e-19,1.29285883887302e-16
"LOC121224612",1234.26358652425,7.4829877891945,0.830885851556865,9.00603587745937,2.13639301203928e-19,2.13607053762237e-16
"LOC107933331",1441.96456238333,3.78193792989601,0.422395448050357,8.9535480255581,3.44236001466328e-19,3.3781026277229e-16
"LOC107890938",1139.95023399397,3.48368756679277,0.389626310843256,8.94109938123311,3.8531765862068e-19,3.68922230669223e-16
"LOC121226259",1306.38163297996,7.82966100967863,0.87582027146811,8.93980336462642,3.89863468400447e-19,3.68922230669223e-16
"LOC107942982",176.665750781364,3.56307007197307,0.402635615097483,8.84936637090686,8.80175819002226e-19,8.18285561413438e-16
